1,287-316-7565,Claro,Damián Oseman,Filadelfia,Uruguay
2,284-903-4248,Movistar,Carlos Quinoa,Dusseldorf,Turquía
3,202-102-3104,Movistar,Carlos Reilly,Ankara,Uruguay
4,961-351-8364,Movistar,Beto Oseman,Buenos Aires,Uruguay
5,371-848-9555,Personal,Jacinta Roberts,Guadalajara,Vietnam
6,280-695-2370,Verizon,Beto Oseman,Buenos Aires,Uruguay
7,175-290-7325,Verizon,Giuliana Oseman,Filadelfia,Uruguay
8,963-517-8868,Movistar,Ernesto Reilly,Guadalajara,Vietnam
9,510-554-9963,Claro,Carlos Lanchester,Dusseldorf,Turquía
10,429-633-8047,Verizon,Damián Neuer,Guadalajara,Vietnam
