1,268-487-6561,Personal,Ernesto Lanchester,Filadelfia,USA
2,231-462-7595,Movistar,Giuliana Quinoa,Buenos Aires,Turquía
3,424-833-7607,Personal,Ana Perez,Colón,USA
4,826-242-4657,Verizon,Damián Reilly,Estambul,Vietnam
5,243-450-6505,Verizon,Beto Merkel,Dusseldorf,Argentina
6,557-970-8672,Personal,Damián Reilly,Estambul,Vietnam
7,971-127-2046,Movistar,Ana Perez,Colón,USA
8,696-293-9628,Claro,Federico Roberts,Guadalajara,Vietnam
9,966-247-7064,Telecom,Giuliana Merkel,Colón,USA
10,591-505-8021,Telecom,Ernesto Lanchester,Filadelfia,USA
